104512;;;;;;;;;;;;;;нет данных
110953;8;-69;18493325;17.01.2019;05:40;31.12.2018;23:59;291;HCA unit;;0;0;835;
110342;8;-93;17003654;28.09.2018;20:37;28.09.2018;19:56;0;HCA unit;;0;0;1941;
110342;8;-93;17003654;28.09.2018;20:37;31.12.2017;23:59;0;HCA unit;;0;0;1941;
10004011;7;-73;18493356;23.04.2019;08:06;23.04.2019;08:09;0,990;m^3;;0;0;22484;4011
10004011;7;-70;18493325;22.02.2019;12:52;31.01.2019;23:59;0;m^3;;0;0;21048;4011
20004011;6;-73;18493356;23.04.2019;10:06;23.04.2019;10:09;0,387;m^3;;0;0;22486;4011
20004011;6;-72;18493325;22.02.2019;10:52;31.12.2019;23:59;0;В°C;;0;0;21046;4011
10004297;7;-69;18493325;23.04.2019;07:21;23.04.2019;07:21;0,157;m^3;;0;0;19454;4297
10004297;7;-74;18493325;28.02.2019;13:10;31.01.2019;23:59;0;m^3;;0;0;18164;4297
20004297;6;-69;18493325;23.04.2019;09:22;23.04.2019;09:21;0,866;m^3;;0;0;19456;4297
20004297;6;-79;18493325;28.02.2019;11:10;31.12.2018;23:59;0;В°C;;0;0;18162;4297
10004340;;;;;;;;;;;;;;нет данных
20004340;;;;;;;;;;;;;;нет данных
10004353;;;;;;;;;;;;;;нет данных
20004353;6;-70;18493356;23.04.2019;09:40;30.12.2018;11:04;0,084;m^3;;0;0;19463;4353
20004353;6;-66;18493356;22.02.2019;11:17;31.12.2019;23:59;4,406;В°C;;0;0;18024;4353
10004359;7;-93;18493325;21.04.2019;03:29;12.04.2017;09:50;1,059;m^3;;0;0;19407;4359
10004359;7;-90;18493325;12.03.2019;05:58;31.01.2019;23:59;0;m^3;;0;0;18450;4359
20004359;6;-94;18493325;23.04.2019;01:34;14.04.2017;07:54;0,963;m^3;;0;0;19453;4359
20004359;6;-90;18493325;11.03.2019;15:56;31.12.2018;23:59;0;В°C;;0;0;18436;4359
10004615;7;-57;18493325;23.04.2019;07:22;14.04.2017;13:53;3,789;m^3;;0;0;19620;4615
10004615;7;-59;18493325;22.02.2019;12:59;31.01.2019;23:59;0;m^3;;0;0;18186;4615
20004615;6;-59;18493325;23.04.2019;09:22;14.04.2017;15:53;0,409;m^3;;0;0;19622;4615
20004615;6;-63;18493325;22.02.2019;10:59;31.12.2018;23:59;0;В°C;;0;0;18184;4615
10004680;;;;;;;;;;;;;;нет данных
20004680;;;;;;;;;;;;;;нет данных
10006454;;;;;;;;;;;;;;нет данных
20006454;;;;;;;;;;;;;;нет данных
104488;8;-56;18493356;23.04.2019;08:52;23.04.2019;07:59;1552;HCA unit;;0;0;7255;
104488;8;-62;17003654;01.01.2019;04:44;31.12.2018;23:59;843;HCA unit;;0;0;4563;
105213;8;-61;18493356;23.04.2019;09:55;23.04.2019;09:05;1077;HCA unit;;0;0;7261;
105213;8;-63;17003654;01.01.2019;07:10;31.12.2018;23:59;492;HCA unit;;0;0;4570;
105249;8;-78;18459560;23.04.2019;09:21;23.04.2019;08:37;1767;HCA unit;;0;0;7250;
105249;8;-77;17003654;01.01.2019;04:27;31.12.2018;23:59;893;HCA unit;;0;0;4557;
129417;;;;;;;;;;;;;;нет данных
10002885;7;-87;18493356;23.04.2019;08:48;23.04.2019;08:34;12,527;m^3;;0;0;25387;2885
10002885;7;-77;17003654;09.11.2018;07:14;08.11.2018;23:59;0;Wh;;0;0;21426;2885
20002885;6;-81;18493356;23.04.2019;06:48;23.04.2019;06:33;1,053;m^3;;0;0;25385;2885
20002885;6;-73;17003654;19.10.2018;09:37;31.12.2017;23:59;0;В°C;;0;0;20924;2885
10003699;7;-49;18493356;23.04.2019;08:47;23.04.2019;08:32;5,355;m^3;;0;0;23200;3699
10003699;7;-51;17003654;09.11.2018;07:14;08.11.2018;23:59;0;m^3;;0;0;19239;3699
20003699;6;-49;18493356;23.04.2019;06:46;23.04.2019;06:31;4,459;m^3;;0;0;23198;3699
20003699;6;-53;17003654;19.10.2018;09:37;31.12.2017;23:59;0;В°C;;0;0;18737;3699
104587;8;-75;18493356;23.04.2019;07:24;23.04.2019;07:08;2151;HCA unit;;0;0;7346;
104587;8;-66;17003654;01.01.2019;06:48;31.12.2018;23:59;977;HCA unit;;0;0;4657;
111029;8;-59;18493356;23.04.2019;07:36;23.04.2019;06:31;960;HCA unit;;0;0;7246;
111029;8;-79;18493356;17.01.2019;03:38;31.12.2018;23:59;884;HCA unit;;0;0;4938;
10003687;7;-48;18493356;23.04.2019;09:05;23.04.2019;08:51;1,035;m^3;;0;0;23201;3687
10003687;7;-45;17003654;09.11.2018;07:17;31.01.2018;23:59;0;m^3;;0;0;19240;3687
20003687;6;-47;18493356;23.04.2019;07:05;23.04.2019;06:51;0,077;m^3;;0;0;23199;3687
20003687;6;-45;17003654;19.10.2018;09:37;31.12.2017;23:59;0;В°C;;0;0;18738;3687
104605;8;-64;18493356;23.04.2019;08:46;23.04.2019;07:42;2093;HCA unit;;0;0;7266;
104605;8;-51;17003654;01.01.2019;07:22;31.12.2018;23:59;890;HCA unit;;0;0;4576;
105182;8;-46;18493356;23.04.2019;08:50;23.04.2019;07:48;2005;HCA unit;;0;0;7253;
105182;8;-87;17003651;01.01.2019;04:25;31.12.2018;23:59;900;HCA unit;;0;0;4561;
10004122;7;-53;18493356;23.04.2019;08:49;23.04.2019;08:30;10,072;m^3;;0;0;19797;4122
10004122;7;-73;17003654;09.11.2018;07:20;31.01.2018;23:59;0;m^3;;0;0;15836;4122
20004122;6;-53;18493356;23.04.2019;06:49;23.04.2019;06:29;3,525;m^3;;0;0;19795;4122
20004122;6;-75;17003654;13.11.2018;04:26;31.12.2018;23:59;0,069;В°C;;0;0;15929;4122
129280;;;;;;;;;;;;;;нет данных
129426;8;-58;18493356;23.04.2019;07:16;23.04.2019;06:43;1485;HCA unit;;0;0;7245;
129426;8;-55;17003654;01.01.2019;05:31;31.12.2018;23:59;603;HCA unit;;0;0;4555;
10003920;7;-61;18493356;23.04.2019;08:41;23.04.2019;08:25;4,769;m^3;;0;0;23174;3920
10003920;7;-64;17003654;09.11.2018;04:27;31.01.2018;23:59;0;m^3;;0;0;19210;3920
20003920;6;-61;18493356;23.04.2019;06:41;23.04.2019;06:25;2,578;m^3;;0;0;23172;3920
20003920;6;-75;17003654;19.10.2018;09:38;31.12.2017;23:59;0;В°C;;0;0;18711;3920
102524;8;-57;18493356;23.04.2019;09:27;23.04.2019;08:35;1072;HCA unit;;0;0;7261;
102524;8;-63;17003654;01.01.2019;06:59;31.12.2018;23:59;931;HCA unit;;0;0;4571;
104611;8;-63;18493356;23.04.2019;06:53;23.04.2019;05:56;1513;HCA unit;;0;0;7250;
104611;8;-65;17003654;01.01.2019;04:05;31.12.2018;23:59;816;HCA unit;;0;0;4559;
106467;8;-53;18493356;23.04.2019;06:50;23.04.2019;05:54;1507;HCA unit;;0;0;7245;
106467;8;-57;17003654;01.01.2019;07:54;31.12.2018;23:59;809;HCA unit;;0;0;4558;
110602;8;-54;18493356;23.04.2019;07:06;23.04.2019;06:10;1732;HCA unit;;0;0;7245;
110602;8;-54;18493356;15.01.2019;15:40;31.12.2018;23:59;843;HCA unit;;0;0;4902;
10003683;7;-65;18493356;23.04.2019;07:37;23.04.2019;08:23;0,710;m^3;;0;0;23206;3683
10003683;7;-71;17003654;09.11.2018;07:25;31.01.2018;23:59;0;m^3;;0;0;19245;3683
20003683;6;-66;18493356;23.04.2019;09:38;23.04.2019;10:23;0,193;m^3;;0;0;23208;3683
20003683;6;-68;17003654;19.10.2018;09:33;31.12.2017;23:59;0;В°C;;0;0;18743;3683
10003916;7;-52;18493356;23.04.2019;04:39;23.04.2019;04:22;0,786;m^3;;0;0;23170;3916
10003916;7;-51;17003654;09.11.2018;07:27;31.01.2018;23:59;0;m^3;;0;0;19213;3916
20003916;6;-52;18493356;23.04.2019;06:40;23.04.2019;06:22;0,358;m^3;;0;0;23172;3916
20003916;6;-51;17003654;19.10.2018;09:39;31.12.2017;23:59;0;В°C;;0;0;18711;3916
106630;8;-74;18493356;23.04.2019;08:16;23.04.2019;07:18;2185;HCA unit;;0;0;7248;
106630;8;-80;17004166;01.01.2019;06:37;31.12.2018;23:59;989;HCA unit;;0;0;4559;
129260;8;-47;17003654;19.10.2018;10:59;19.10.2018;10:25;0;HCA unit;;0;0;2785;
129260;8;-86;17003658;09.08.2018;23:45;31.12.2016;23:59;0;HCA unit;;0;0;1094;
129420;8;-71;18493356;14.02.2019;11:03;11.10.2013;18:07;1373;HCA unit;11.10.2013;40;40;5616;
129420;8;-79;17003658;09.08.2018;22:08;31.12.2012;23:59;0;HCA unit;;0;0;1091;
130111;8;-58;17003654;19.10.2018;12:33;19.10.2018;11:55;0;HCA unit;;0;0;2786;
130111;8;-89;17003658;09.08.2018;20:37;31.12.2016;23:59;0;HCA unit;;0;0;1090;
10004327;7;-52;18493356;23.04.2019;07:47;23.04.2019;07:31;0,136;m^3;;0;0;19335;4327
10004327;7;-54;17003654;14.01.2019;13:13;31.12.2019;23:59;0,136;m^3;;0;0;16965;4327
20004327;6;-56;18493356;23.04.2019;09:47;23.04.2019;09:32;0,186;m^3;;0;0;19337;4327
20004327;6;-54;17003654;14.01.2019;15:14;31.12.2019;23:59;0,167;В°C;;0;0;16967;4327
10005666;7;-77;18459560;23.04.2019;09:09;23.04.2019;08:53;3,025;m^3;;0;0;9406;5666
10005666;7;-74;17003654;13.11.2018;02:44;31.12.2018;23:59;0;Wh;;0;0;5536;5666
20005666;6;-75;18493356;23.04.2019;07:09;23.04.2019;06:53;1,265;m^3;;0;0;9404;5666
20005666;6;-70;17003654;19.10.2018;09:40;31.12.2018;23:59;0;Wh;;0;0;4943;5666
110552;;;;;;;;;;;;;;нет данных
110614;;;;;;;;;;;;;;нет данных
10005683;7;-45;18493356;23.04.2019;09:10;23.04.2019;08:55;5,136;m^3;;0;0;9405;5683
10005683;7;-63;17003658;13.11.2018;06:44;31.12.2018;23:59;0;Wh;;0;0;5539;5683
20005683;6;-45;18493356;23.04.2019;07:10;23.04.2019;06:54;1,421;m^3;;0;0;9403;5683
20005683;6;-55;17003654;19.10.2018;09:40;31.12.2018;23:59;0;Wh;;0;0;4942;5683
101514;8;-47;18459560;27.03.2019;11:00;27.03.2019;10:04;1274;HCA unit;27.03.2019;40;40;6632;
101514;8;-57;17003654;01.01.2019;06:28;31.12.2018;23:59;745;HCA unit;;0;0;4587;
104584;;;;;;;;;;;;;;нет данных
10004535;7;-56;18493356;23.04.2019;09:17;23.04.2019;08:57;3,171;m^3;;0;0;19676;4535
10004535;7;-71;17003658;13.11.2018;06:45;31.01.2019;23:59;0;m^3;;0;0;15810;4535
20004535;6;-57;18493356;23.04.2019;07:17;23.04.2019;06:56;0,446;m^3;;0;0;19674;4535
20004535;6;-69;17003654;19.10.2018;09:41;31.12.2018;23:59;0;В°C;;0;0;15213;4535
110795;8;-47;18493356;26.03.2019;16:00;26.03.2019;15:02;1344;HCA unit;26.03.2019;11;11;6654;
110795;8;-52;17003654;01.01.2019;04:17;31.12.2018;23:59;799;HCA unit;;0;0;4627;
110896;;;;;;;;;;;;;;нет данных
10004350;7;-59;18493356;23.04.2019;09:59;23.04.2019;10:12;6,517;m^3;;0;0;19464;4350
10004350;7;-85;18493342;28.02.2019;10:43;31.12.2018;23:59;0,080;m^3;;0;0;18168;4350
20004350;6;-59;18493356;23.04.2019;07:59;23.04.2019;08:12;4,35;m^3;;0;0;19462;4350
20004350;6;-87;18493342;28.02.2019;08:46;31.12.2018;23:59;0;В°C;;0;0;18166;4350
110609;;;;;;;;;;;;;;нет данных
111349;8;-77;18493356;13.02.2019;17:29;13.02.2019;16:22;739;HCA unit;13.02.2019;11;11;5604;
111349;8;-46;17003654;01.01.2019;05:59;31.12.2018;23:59;797;HCA unit;;0;0;4561;
111382;;;;;;;;;;;;;;нет данных
129295;8;-50;17003654;19.10.2018;12:11;19.10.2018;11:38;0;HCA unit;;0;0;2786;
129295;8;-77;17003658;09.08.2018;22:44;31.12.2016;23:59;0;HCA unit;;0;0;1093;
10006208;7;-59;18493356;23.04.2019;08:48;23.04.2019;08:58;0,087;m^3;;0;0;2035;6208
10006208;7;-60;18493356;11.04.2019;08:22;31.01.2020;23:59;0;m^3;;0;0;1747;6208
20006208;6;-59;18493356;23.04.2019;06:48;23.04.2019;06:58;0,057;m^3;;0;0;2033;6208
20006208;6;-59;18493356;11.04.2019;10:22;31.12.2019;23:59;0;Wh;;0;0;1749;6208
10006237;7;-66;18493356;23.04.2019;08:56;23.04.2019;09:06;6,258;m^3;;0;0;2038;6237
10006237;7;-68;18493356;11.04.2019;08:30;31.01.2020;23:59;0;m^3;;0;0;1749;6237
20006237;6;-66;18493356;23.04.2019;06:56;23.04.2019;07:05;0,057;m^3;;0;0;2036;6237
20006237;6;-68;18493356;11.04.2019;10:30;31.12.2018;23:59;0;Wh;;0;0;1751;6237
101566;8;-75;18493345;25.02.2019;11:47;25.02.2019;10:39;1146;HCA unit;25.02.2019;40;40;5910;
